delta subtype	date
B.1.617.2-a	17/04/2021
B.1.617.2-d	19/04/2021
B.1.617.2-d	19/04/2021
B.1.617.2-c	19/04/2021
B.1.617.2-c	19/04/2021
B.1.617.2-c	19/04/2021
B.1.617.2-c	19/04/2021
B.1.617.2-d	19/04/2021
B.1.617.2-d	19/04/2021
B.1.617.2-b	19/04/2021
B.1.617.2-e	19/04/2021
B.1.617.2-c	25/04/2021
B.1.617.2-a	27/04/2021
B.1.617.2-c	27/04/2021
B.1.617.2-d	27/04/2021
B.1.617.2-d	27/04/2021
B.1.617.2-a	27/04/2021
B.1.617.2-c	27/04/2021
B.1.617.2-d	27/04/2021
B.1.617.2-c	27/04/2021
B.1.617.2-c	23/04/2021
B.1.617.2-e	04/05/2021
B.1.617.2-e	04/05/2021
B.1.617.2-d	04/05/2021
B.1.617.2-d	05/05/2021
B.1.617.2-a	05/05/2021
B.1.617.2-a	05/05/2021
B.1.617.2-a	05/05/2021
B.1.617.2-d	06/05/2021
B.1.617.2-d	NA
B.1.617.2-d	01/05/2021
B.1.617.2-d	07/05/2021
B.1.617.2-d	07/05/2021
B.1.617.2-a	06/05/2021
B.1.617.2-a	06/05/2021
B.1.617.2-a	06/05/2021
B.1.617.2-a	07/05/2021
B.1.617.2-d	05/05/2021
B.1.617.2-d	05/05/2021
B.1.617.2-d	05/05/2021
B.1.617.2-a	09/05/2021
B.1.617.2-d	18/05/2021
B.1.617.2-a	18/05/2021
B.1.617.2-b	21/05/2021
B.1.617.2-a	26/05/2021
B.1.617.2-d	26/05/2021
B.1.617.2-a	27/05/2021
B.1.617.2-d	27/05/2021
B.1.617.2-d	30/05/2021
B.1.617.2-b	01/06/2021
B.1.617.2-a	01/06/2021
B.1.617.2-b	01/06/2021
B.1.617.2-d	01/06/2021
B.1.617.2-d	01/06/2021
B.1.617.2-d	01/06/2021
B.1.617.2-c	01/06/2021
B.1.617.2-d	01/06/2021
B.1.617.2-d	01/06/2021
B.1.617.2-a	02/06/2021
B.1.617.2-d	02/06/2021
B.1.617.2-d	02/06/2021
B.1.617.2-c	02/06/2021
B.1.617.2-c	02/06/2021
B.1.617.2-d	02/06/2021
B.1.617.2-d	02/06/2021
B.1.617.2-c	02/06/2021
B.1.617.2-d	02/06/2021
B.1.617.2-c	02/06/2021
B.1.617.2-d	02/06/2021
B.1.617.2-d	02/06/2021
B.1.617.2-d	02/06/2021
B.1.617.2-d	02/06/2021
B.1.617.2-d	02/06/2021
B.1.617.2-d	04/05/2021
B.1.617.2-d	01/06/2021
B.1.617.2-d	04/06/2021
B.1.617.2-d	04/06/2021
B.1.617.2-d	04/06/2021
B.1.617.2-d	04/06/2021
B.1.617.2-d	04/06/2021
B.1.617.2-c	04/06/2021
B.1.617.2-d	04/06/2021
B.1.617.2-d	06/06/2021
B.1.617.2-d	07/06/2021
B.1.617.2-d	07/06/2021
B.1.617.2-d	07/06/2021
B.1.617.2-d	07/06/2021
B.1.617.2-c	07/06/2021
B.1.617.2-d	07/06/2021
B.1.617.2-d	07/06/2021
B.1.617.2-d	08/06/2021
B.1.617.2-d	08/06/2021
B.1.617.2-d	08/06/2021
B.1.617.2-d	08/06/2021
B.1.617.2-c	08/06/2021
B.1.617.2-a	10/06/2021
B.1.617.2-b	12/06/2021
B.1.617.2-d	10/06/2021
B.1.617.2-d	11/06/2021
NA	11/06/2021
B.1.617.2-d	11/06/2021
B.1.617.2-d	11/06/2021
B.1.617.2-d	10/06/2021
B.1.617.2-d	12/06/2021
B.1.617.2	10/06/2021
B.1.617.2-d	10/06/2021
B.1.617.2-d	10/06/2021
B.1.617.2-d	10/06/2021
B.1.617.2-d	10/06/2021
B.1.617.2-d	10/06/2021
B.1.617.2-d	10/06/2021
B.1.617.2-d	11/06/2021
B.1.617.2-d	06/06/2021
B.1.617.2-d	07/06/2021
B.1.617.2-d	07/06/2021
B.1.617.2-a	07/06/2021
B.1.617.2-d	08/06/2021
B.1.617.2-d	08/06/2021
B.1.617.2-d	07/06/2021
NA	09/06/2021
B.1.617.2-d	10/06/2021
B.1.617.2-a	10/06/2021
B.1.617.2-d	08/06/2021
B.1.617.2-d	07/06/2021
B.1.617.2-d	07/06/2021
B.1.617.2-d	13/06/2021
B.1.617.2-d	13/06/2021
B.1.617.2-d	13/06/2021
B.1.617.2-d	13/06/2021
B.1.617.2-d	13/06/2021
B.1.617.2-d	16/06/2021
B.1.617.2-d	16/06/2021
B.1.617.2-d	16/06/2021
B.1.617.2-d	16/06/2021
B.1.617.2-d	16/06/2021
B.1.617.2-d	16/06/2021
B.1.617.2-d	16/06/2021
B.1.617.2-d	16/06/2021
B.1.617.2-d	16/06/2021
B.1.617.2-d	16/06/2021
B.1.617.2-d	18/06/2021
B.1.617.2-d	17/06/2021
B.1.617.2-d	17/06/2021
B.1.617.2-d	17/06/2021
B.1.617.2-d	17/06/2021
NA	16/06/2021
B.1.617.2-d	17/06/2021
B.1.617.2-d	17/06/2021
B.1.617.2-b	17/06/2021
B.1.617.2-d	17/06/2021
B.1.617.2-d	18/06/2021
B.1.617.2-d	18/06/2021
B.1.617.2-d	18/06/2021
B.1.617.2-d	16/06/2021
B.1.617.2-d	17/06/2021
B.1.617.2-d	17/06/2021
B.1.617.2-d	18/06/2021
B.1.617.2-d	18/06/2021
B.1.617.2-d	18/06/2021
B.1.617.2-d	18/06/2021
B.1.617.2-d	19/06/2021
B.1.617.2-d	19/06/2021
B.1.617.2-b	19/06/2021
B.1.617.2-c	19/06/2021
B.1.617.2-d	18/06/2021
B.1.617.2-d	25/06/2021
B.1.617.2-d	25/06/2021
B.1.617.2-d	25/06/2021
B.1.617.2-d	25/06/2021
B.1.617.2-d	25/06/2021
B.1.617.2-d	25/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	25/06/2021
